csvdate,nav
2021-11-17,26.54
2021-11-18,26.44
2021-11-19,26.55
2021-11-22,26.45
2021-11-23,26.23
2021-11-24,25.99
2021-11-25,25.99
2021-11-26,25.59
2021-11-29,25.36
2021-11-30,25.13
2021-12-01,25.39
2021-12-02,25.51
2021-12-03,25.47
2021-12-06,25.2
2021-12-07,25.65
2021-12-08,25.94
2021-12-09,26.07
2021-12-10,25.77
2021-12-13,25.7
2021-12-14,25.52
2021-12-15,25.41
2021-12-16,25.58
2021-12-17,25.24
2021-12-20,24.79
2021-12-21,25.11
2021-12-22,25.2
2021-12-23,25.44
2021-12-24,25.47
2021-12-28,25.64
2021-12-29,25.43
2021-12-30,25.42
2022-01-04,25.76
2022-01-05,25.46
2022-01-06,24.97
2022-01-07,25.06
2022-01-10,25.13
2022-01-11,25.01
2022-01-12,25.47
2022-01-13,25.29
2022-01-14,25.06
2022-01-17,25.0
2022-01-18,24.86
2022-01-19,24.45
2022-01-20,24.91
2022-01-21,24.78
2022-01-24,24.57
2022-01-25,24.18
2022-01-26,24.05
2022-01-27,23.44
2022-01-28,23.52
2022-02-07,24.11
2022-02-08,23.87
2022-02-09,24.22
2022-02-10,24.3
2022-02-11,24.17
2022-02-14,23.69
2022-02-15,23.7
2022-02-16,24.11
2022-02-17,24.09
2022-02-18,23.77
2022-02-21,23.64
2022-02-22,23.26
2022-02-23,23.31
2022-02-24,22.62
2022-02-25,22.93
2022-02-28,22.95
2022-03-01,23.12
2022-03-02,22.67
2022-03-03,22.73
2022-03-04,22.28
2022-03-07,21.35
2022-03-08,21.15
2022-03-09,21.16
2022-03-10,21.85
2022-03-11,21.38
2022-03-14,20.83
2022-03-15,20.5
2022-03-16,21.95
2022-03-17,22.28
2022-03-18,22.19
2022-03-21,22.07
2022-03-22,22.18
2022-03-23,22.51
2022-03-24,22.33
2022-03-25,22.12
2022-03-28,21.89
2022-03-29,22.24
2022-03-30,22.53
2022-03-31,22.37
2022-04-01,22.33
2022-04-06,22.17
2022-04-07,21.78
