csvdate,nav
2021-11-29,1.4116
2021-11-30,1.3939
2021-12-01,1.4051
2021-12-02,1.4109
2021-12-03,1.4053
2021-12-06,1.4039
2021-12-07,1.4308
2021-12-08,1.4352
2021-12-09,1.4375
2021-12-10,1.4324
2021-12-13,1.4252
2021-12-14,1.414
2021-12-15,1.4136
2021-12-16,1.4234
2021-12-17,1.4094
2021-12-20,1.3869
2021-12-21,1.4047
2021-12-22,1.4147
2021-12-23,1.4232
2021-12-24,1.4245
2021-12-28,1.4335
2021-12-29,1.4302
2021-12-30,1.4287
2021-12-31,1.4348
2022-01-04,1.4478
2022-01-05,1.4368
2022-01-06,1.4288
2022-01-07,1.4384
2022-01-10,1.4403
2022-01-11,1.4457
2022-01-12,1.4673
2022-01-13,1.466
2022-01-14,1.4601
2022-01-17,1.4587
2022-01-18,1.447
2022-01-19,1.438
2022-01-20,1.4511
2022-01-21,1.4359
2022-01-24,1.4181
2022-01-25,1.4037
2022-01-26,1.4078
2022-01-27,1.3863
2022-01-28,1.3881
2022-02-07,1.4245
2022-02-08,1.4234
2022-02-09,1.4451
2022-02-10,1.4456
2022-02-11,1.4354
2022-02-14,1.4156
2022-02-15,1.4192
2022-02-16,1.4346
2022-02-17,1.4288
2022-02-18,1.4144
2022-02-21,1.4048
2022-02-22,1.389
2022-02-23,1.3854
2022-02-24,1.3512
2022-02-25,1.3712
2022-02-28,1.3695
2022-03-01,1.3593
2022-03-02,1.3559
2022-03-03,1.3527
2022-03-04,1.3217
2022-03-07,1.2849
2022-03-08,1.2722
2022-03-09,1.2932
2022-03-10,1.3014
2022-03-11,1.2863
2022-03-14,1.2644
2022-03-15,1.2461
2022-03-16,1.2993
2022-03-17,1.3392
2022-03-18,1.3408
2022-03-21,1.3349
2022-03-22,1.3543
2022-03-23,1.3553
2022-03-24,1.3532
2022-03-25,1.3421
2022-03-28,1.3437
2022-03-29,1.3644
2022-03-30,1.3699
2022-03-31,1.3569
2022-04-01,1.3542
2022-04-06,1.3416
2022-04-07,1.3319
2022-04-08,1.3354
2022-04-11,1.3159
2022-04-12,1.3129
2022-04-13,1.3191
2022-04-14,1.32
2022-04-19,1.3066
2022-04-20,1.3116
2022-04-21,1.301
2022-04-22,1.2826
2022-04-25,1.2579
2022-04-26,1.2521
2022-04-27,1.2479
2022-04-28,1.2627
2022-04-29,1.2758
2022-05-05,1.2638
2022-05-06,1.2414
2022-05-10,1.2119
2022-05-11,1.2156
2022-05-12,1.1999
2022-05-13,1.2232
2022-05-16,1.2244
2022-05-17,1.2501
2022-05-18,1.2404
2022-05-19,1.2264
2022-05-20,1.2424
2022-05-23,1.2504
2022-05-24,1.2408
2022-05-25,1.244
2022-05-26,1.2521
2022-05-27,1.2738
2022-05-30,1.2881
2022-05-31,1.2871
2022-06-01,1.2811
2022-06-02,1.2816
2022-06-06,1.2891
2022-06-07,1.2856
2022-06-08,1.2933
2022-06-09,1.2783
2022-06-10,1.258
2022-06-13,1.2189
2022-06-14,1.2096
2022-06-15,1.2175
2022-06-16,1.201
2022-06-17,1.1976
2022-06-20,1.202
2022-06-21,1.2175
2022-06-22,1.2053
2022-06-23,1.2121
2022-06-24,1.235
2022-06-27,1.2494
2022-06-28,1.2502
2022-06-29,1.2373
2022-06-30,1.2267
2022-07-04,1.229
2022-07-05,1.2227
2022-07-06,1.2165
2022-07-07,1.2283
2022-07-08,1.2314
2022-07-11,1.2134
2022-07-12,1.203
2022-07-13,1.2021
2022-07-14,1.1937
2022-07-15,1.1952
2022-07-18,1.2093
2022-07-19,1.2163
2022-07-20,1.224
2022-07-21,1.2246
2022-07-22,1.2276
2022-07-25,1.2234
2022-07-26,1.2262
2022-07-27,1.228
2022-07-28,1.2366
2022-07-29,1.2339
2022-08-01,1.2395
2022-08-02,1.2226
2022-08-03,1.2248
2022-08-04,1.2359
2022-08-05,1.2347
2022-08-08,1.2346
2022-08-09,1.2286
2022-08-10,1.2334
2022-08-11,1.2459
2022-08-12,1.2529
2022-08-15,1.2533
2022-08-16,1.2491
2022-08-17,1.2464
2022-08-18,1.2432
2022-08-19,1.2329
2022-08-22,1.2188
2022-08-23,1.2141
2022-08-24,1.2097
2022-08-25,1.2303
2022-08-26,1.2221
2022-08-29,1.2075
2022-08-30,1.2058
2022-08-31,1.2017
2022-09-01,1.1848
2022-09-02,1.185
2022-09-05,1.1766
2022-09-06,1.1735
2022-09-07,1.1708
2022-09-08,1.1764
2022-09-09,1.197
2022-09-13,1.189
2022-09-14,1.174
2022-09-15,1.17
2022-09-16,1.1595
2022-09-19,1.1553
2022-09-20,1.1551
2022-09-21,1.1396
2022-09-22,1.1267
2022-09-23,1.1079
2022-09-26,1.0963
2022-09-27,1.0961
2022-09-28,1.0874
2022-09-29,1.0844
2022-09-30,1.0802
2022-10-10,1.0886
2022-10-11,1.073
2022-10-12,1.0689
2022-10-13,1.0679
2022-10-14,1.0727
2022-10-17,1.079
2022-10-18,1.092
2022-10-19,1.0789
2022-10-20,1.073
2022-10-21,1.0726
2022-10-24,1.0605
2022-10-25,1.0716
2022-10-26,1.0802
2022-10-27,1.0798
2022-10-28,1.0695
2022-10-31,1.0653
2022-11-01,1.0833
2022-11-02,1.0865
