csvdate,nav
2022-02-10,225.8451
2022-02-11,222.4121
2022-02-14,220.3526
2022-02-15,222.6505
2022-02-16,223.1217
2022-02-17,219.583
2022-02-18,217.5423
2022-02-21,216.9061
2022-02-22,214.7187
2022-02-23,211.6719
2022-02-24,211.5333
2022-02-25,215.935
2022-02-28,215.6143
2022-03-01,212.4222
2022-03-02,215.1023
2022-03-03,213.2966
2022-03-04,209.8036
2022-03-07,203.6787
2022-03-08,202.3396
2022-03-09,208.219
2022-03-10,207.4281
2022-03-11,205.731
2022-03-14,205.5356
2022-03-15,207.8511
2022-03-16,213.3723
2022-03-17,216.3419
2022-03-18,218.956
2022-03-21,218.3114
2022-03-22,221.2022
2022-03-23,219.683
2022-03-24,221.2594
2022-03-25,221.5696
2022-03-28,222.5994
2022-03-29,225.5913
2022-03-30,224.227
2022-03-31,220.7957
2022-04-01,221.9523
2022-04-04,224.1076
2022-04-06,218.2902
2022-04-07,218.1811
2022-04-08,218.2973
2022-04-11,215.8185
2022-04-12,214.8807
2022-04-13,217.0299
2022-04-14,215.6801
2022-04-19,217.9781
2022-04-20,219.5835
2022-04-21,217.7171
2022-04-22,214.0181
2022-04-25,215.5886
2022-04-26,210.8471
2022-04-27,210.9113
2022-04-28,217.3672
2022-04-29,212.4533
2022-05-03,213.8958
2022-05-04,218.0846
2022-05-05,212.7007
2022-05-06,211.6858
2022-05-10,207.1587
2022-05-11,204.9701
2022-05-12,205.7985
2022-05-13,210.4507
2022-05-16,209.9136
2022-05-17,212.3598
2022-05-18,206.8693
2022-05-19,204.6814
2022-05-20,204.6698
2022-05-23,206.6077
2022-05-24,204.8453
2022-05-25,207.58
2022-05-26,213.053
2022-05-27,215.7795
2022-05-30,215.0494
2022-05-31,214.2575
2022-06-01,213.0717
2022-06-02,215.6136
2022-06-06,213.1101
2022-06-07,215.0402
2022-06-08,214.2631
2022-06-09,210.0794
2022-06-10,205.2852
2022-06-13,199.4958
2022-06-14,197.8378
2022-06-15,198.9987
2022-06-16,193.6689
2022-06-17,193.5808
2022-06-20,193.1018
2022-06-21,196.6946
2022-06-22,196.2259
2022-06-23,196.6248
2022-06-24,201.444
2022-06-27,201.8738
2022-06-28,199.8721
2022-06-29,198.8682
2022-06-30,196.7928
2022-07-04,197.6802
2022-07-05,197.4934
2022-07-06,197.4276
2022-07-07,200.3026
2022-07-08,200.1672
2022-07-11,198.3974
2022-07-12,197.5741
2022-07-13,196.4678
2022-07-14,196.4998
2022-07-15,199.493
2022-07-18,199.0946
2022-07-19,203.4398
2022-07-20,204.8891
2022-07-21,207.1592
2022-07-22,205.035
2022-07-25,205.1091
2022-07-26,203.4387
2022-07-27,206.9575
2022-07-28,208.8468
2022-07-29,211.4904
2022-08-01,212.3594
2022-08-02,210.1269
2022-08-03,212.0883
2022-08-04,212.276
2022-08-05,212.1797
2022-08-08,212.4158
2022-08-09,211.0411
2022-08-10,214.0559
2022-08-11,214.9174
2022-08-12,217.5913
2022-08-15,219.589
2022-08-16,220.03
2022-08-17,218.4327
2022-08-18,218.7597
2022-08-19,217.1394
2022-08-22,214.2989
2022-08-23,213.4149
2022-08-24,214.5093
2022-08-25,216.8826
2022-08-26,212.2419
2022-08-29,211.5381
2022-08-30,210.0063
2022-08-31,207.8508
2022-09-01,207.0523
2022-09-02,206.4179
2022-09-05,206.9232
2022-09-06,206.8123
2022-09-07,209.1481
2022-09-08,210.4514
2022-09-09,213.1439
2022-09-13,209.7464
2022-09-14,209.3513
2022-09-15,208.7492
2022-09-16,206.5668
2022-09-19,207.38
2022-09-20,206.1107
2022-09-21,204.0355
2022-09-22,202.4084
2022-09-23,199.9298
2022-09-26,197.5902
2022-09-27,198.1892
2022-09-28,201.3543
2022-09-29,196.1376
2022-09-30,194.4988
2022-10-03,197.8981
2022-10-05,203.8366
2022-10-06,202.1952
2022-10-07,198.6323
2022-10-10,197.9498
2022-10-11,196.4268
2022-10-12,196.2377
2022-10-13,200.0777
2022-10-14,196.9848
2022-10-17,201.117
2022-10-18,203.9702
2022-10-19,203.5859
2022-10-20,201.6513
2022-10-21,205.1683
2022-10-24,208.6205
2022-10-25,212.0993
2022-10-26,208.9633
2022-10-27,209.0693
2022-10-28,212.7661
2022-10-31,213.3156
2022-11-01,212.6898
2022-11-02,209.688
2022-11-03,207.9478
2022-11-04,207.3014
2022-11-07,210.7989
2022-11-08,212.0115
2022-11-09,209.5101
2022-11-10,216.211
2022-11-11,216.8021
2022-11-14,214.6059
2022-11-15,216.6799
2022-11-16,216.2427
2022-11-17,217.2619
2022-11-18,216.9429
2022-11-21,217.1623
2022-11-22,218.6912
2022-11-23,221.0187
2022-11-24,221.6032
2022-11-25,222.5618
2022-11-28,220.9656
2022-11-29,218.8795
2022-11-30,221.6257
2022-12-01,222.0496
2022-12-02,221.185
2022-12-05,215.7981
2022-12-06,214.2347
2022-12-07,212.8769
2022-12-08,213.9343
2022-12-09,213.6357
2022-12-12,215.49
2022-12-13,218.8099
2022-12-14,215.5948
2022-12-15,212.0834
2022-12-16,209.767
2022-12-19,208.4861
2022-12-20,207.7595
2022-12-21,211.0911
2022-12-22,209.4284
2022-12-23,210.1387
2022-12-28,208.1809
2022-12-29,210.4045
2022-12-30,207.6297
2023-01-03,207.721
2023-01-04,209.3189
2023-01-05,207.1759
2023-01-06,209.6333
2023-01-09,208.7249
2023-01-10,209.8595
2023-01-11,211.5403
2023-01-12,211.5131
2023-01-13,211.888
2023-01-16,212.9288
2023-01-17,213.8053
2023-01-18,211.3835
2023-01-19,210.6927
2023-01-20,213.4344
2023-01-26,216.5391
2023-01-27,217.6392
2023-01-30,214.6063
2023-01-31,216.5111
2023-02-01,218.1394
2023-02-02,220.0106
2023-02-03,219.6991
2023-02-06,218.1611
2023-02-07,219.4614
2023-02-08,218.5745
2023-02-09,217.6881
2023-02-10,218.1895
2023-02-13,220.4502
2023-02-14,220.628
2023-02-15,221.4402
2023-02-16,220.1752
2023-02-17,219.4216
2023-02-20,219.0788
2023-02-21,216.5708
2023-02-22,216.2943
2023-02-23,217.2584
2023-02-24,216.8025
2023-02-27,217.2468
2023-02-28,216.2413
2023-03-01,213.9359
2023-03-02,215.9809
2023-03-03,218.8826
2023-03-06,220.1139
2023-03-07,218.2351
2023-03-08,217.458
2023-03-09,215.4233
2023-03-10,210.684
2023-03-13,207.8155
2023-03-14,210.7721
2023-03-15,208.9822
2023-03-16,211.7999
2023-03-17,209.9456
2023-03-20,211.0142
2023-03-21,213.7308
2023-03-22,211.8952
2023-03-23,210.9923
2023-03-24,212.1392
2023-03-27,213.3893
2023-03-28,213.3778
2023-03-29,216.5097
2023-03-30,217.9425
2023-03-31,219.8288
2023-04-03,221.183
2023-04-04,220.6389
2023-04-06,220.0161
2023-04-11,221.3765
2023-04-12,220.5621
2023-04-13,222.756
2023-04-14,222.4902
2023-04-17,223.3119
2023-04-18,223.5319
2023-04-19,223.6132
2023-04-20,222.1926
2023-04-21,222.7162
2023-04-24,223.0428
2023-04-25,221.0298
2023-04-26,220.4239
2023-04-27,223.3314
2023-04-28,224.456
2023-05-02,222.444
2023-05-03,220.9121
2023-05-04,220.0899
2023-05-05,223.3705
2023-05-08,223.9212
2023-05-09,223.1215
2023-05-10,224.0608
2023-05-11,224.0384
2023-05-12,223.9688
2023-05-15,224.8966
2023-05-16,224.7505
2023-05-17,226.5893
2023-05-18,229.5859
2023-05-19,228.8974
2023-05-22,229.9279
2023-05-23,228.0254
2023-05-24,226.0907
2023-05-25,227.1171
2023-05-29,229.5366
2023-05-30,229.4327
2023-05-31,228.3646
2023-06-01,230.3555
2023-06-02,233.6474
2023-06-05,233.9907
2023-06-06,235.316
2023-06-07,234.6572
2023-06-08,235.1391
2023-06-09,236.3871
2023-06-12,238.4326
2023-06-13,240.7793
2023-06-14,241.2002
2023-06-15,243.1103
2023-06-16,242.7645
2023-06-19,243.097
2023-06-20,242.3827
2023-06-21,241.2392
2023-06-23,240.3583
2023-06-26,240.6058
2023-06-27,241.837
2023-06-28,243.5755
2023-06-29,244.0302
2023-06-30,246.9558
2023-07-03,246.7612
2023-07-04,245.9223
2023-07-05,246.3749
2023-07-06,243.3458
2023-07-07,242.0013
2023-07-10,242.0013
2023-07-11,244.204
2023-07-12,245.0978
2023-07-13,247.1862
2023-07-14,247.1541
2023-07-18,250.0705
2023-07-19,252.1508
2023-07-20,248.9252
2023-07-21,249.334
2023-07-24,250.0009
2023-07-25,249.4376
2023-07-26,249.8967
2023-07-27,249.7175
2023-07-28,251.1048
2023-07-31,251.1048
2023-08-01,251.5465
2023-08-02,248.4167
2023-08-03,246.6607
2023-08-04,246.5778
