csvdate,nav
2025-01-07,99.83
2025-01-08,99.9
2025-01-09,99.98
2025-01-10,99.92
2025-01-13,99.66
2025-01-14,99.56
2025-01-15,99.45
2025-01-16,99.52
2025-01-17,99.41
2025-01-20,98.8
2025-01-21,98.82
2025-01-22,98.96
2025-01-23,99.13
2025-01-24,98.61
2025-01-27,99.02
2025-02-05,99.52
2025-02-06,99.92
2025-02-07,100.27
2025-02-10,100.42
2025-02-11,100.7
2025-02-12,100.89
2025-02-13,100.56
2025-02-14,100.33
2025-02-17,100.49
2025-02-18,99.97
2025-02-19,100.03
2025-02-20,99.44
2025-02-21,99.63
2025-02-24,99.69
2025-02-25,99.77
2025-02-26,100.39
2025-02-27,100.56
2025-02-28,100.55
2025-03-03,100.85
2025-03-04,100.47
2025-03-05,100.1
2025-03-06,100.38
2025-03-07,100.33
2025-03-10,100.57
2025-03-11,99.93
2025-03-12,100.82
2025-03-13,100.35
2025-03-14,100.15
2025-03-17,99.27
2025-03-18,99.35
2025-03-19,99.43
2025-03-20,99.75
2025-03-21,99.76
2025-03-24,99.81
2025-03-25,99.77
2025-03-26,99.87
2025-03-27,99.56
2025-03-28,99.63
2025-03-31,99.26
2025-04-01,99.45
2025-04-02,99.28
2025-04-03,98.83
2025-04-07,94.27
2025-04-08,96.18
2025-04-09,94.76
2025-04-10,95.76
2025-04-11,94.78
2025-04-14,96.49
2025-04-15,96.2
2025-04-16,96.13
2025-04-17,96.48
2025-04-22,97.25
2025-04-23,97.04
2025-04-24,97.09
2025-04-25,97.46
2025-04-28,97.65
2025-04-29,97.75
2025-04-30,97.1
2025-05-06,96.35
2025-05-07,96.65
2025-05-08,96.99
2025-05-09,96.97
2025-05-12,97.0
2025-05-13,97.25
2025-05-14,97.49
2025-05-15,96.78
2025-05-16,96.89
2025-05-19,96.82
2025-05-20,96.86
2025-05-21,96.66
2025-05-22,96.2
2025-05-23,96.14
2025-05-26,96.4
2025-05-27,96.5
2025-05-28,96.45
2025-05-29,96.59
2025-05-30,96.8
2025-06-03,96.24
2025-06-04,96.11
2025-06-05,96.04
2025-06-06,96.45
2025-06-09,96.57
2025-06-10,96.81
2025-06-11,97.04
2025-06-12,96.65
2025-06-13,96.69
2025-06-16,96.0
2025-06-17,96.13
2025-06-18,96.19
2025-06-19,96.32
2025-06-20,95.91
2025-06-23,95.91
2025-06-24,96.0
2025-06-25,96.28
2025-06-26,96.18
2025-06-27,96.46
2025-06-30,96.46
2025-07-02,96.6
2025-07-03,96.68
2025-07-04,96.78
2025-07-07,96.73
2025-07-08,96.78
2025-07-09,96.78
2025-07-10,96.82
2025-07-11,96.69
2025-07-14,96.75
2025-07-15,96.22
2025-07-16,96.29
2025-07-17,96.33
2025-07-18,96.3
2025-07-21,96.4
2025-07-22,96.53
2025-07-23,96.39
2025-07-24,96.44
2025-07-25,96.69
2025-07-28,97.0
2025-07-29,97.03
2025-07-30,97.31
2025-07-31,97.4
2025-08-01,97.1
2025-08-04,97.07
2025-08-05,97.29
2025-08-06,97.24
2025-08-07,97.26
2025-08-08,97.38
2025-08-11,97.53
2025-08-12,97.55
2025-08-13,97.6
2025-08-14,97.82
2025-08-15,97.24
2025-08-18,97.38
2025-08-19,97.33
2025-08-20,97.21
2025-08-21,97.24
2025-08-22,97.19
2025-08-25,97.12
2025-08-26,97.16
2025-08-27,97.18
2025-08-28,96.84
2025-08-29,96.94
2025-09-01,97.27
2025-09-02,97.2
2025-09-03,97.23
2025-09-04,97.32
2025-09-05,97.26
2025-09-08,97.4
2025-09-09,97.4
2025-09-10,97.39
2025-09-11,97.5
2025-09-12,97.82
2025-09-15,97.19
2025-09-16,97.15
2025-09-17,97.06
2025-09-18,97.33
2025-09-19,97.45
2025-09-22,97.49
2025-09-23,97.34
2025-09-24,97.63
2025-09-25,97.69
2025-09-26,97.59
2025-09-29,97.43
2025-09-30,97.53
2025-10-09,98.1
2025-10-10,97.89
2025-10-13,97.77
2025-10-14,97.55
2025-10-15,96.86
2025-10-16,96.88
2025-10-17,96.76
2025-10-20,96.83
2025-10-21,96.86
2025-10-22,96.95
2025-10-23,96.85
2025-10-24,96.92
2025-10-27,96.95
2025-10-28,96.79
2025-10-30,96.99
2025-10-31,97.03
2025-11-03,96.9
2025-11-04,96.9
2025-11-05,96.77
2025-11-06,96.71
2025-11-07,96.79
2025-11-10,96.86
2025-11-11,96.93
2025-11-12,96.79
2025-11-13,96.53
2025-11-14,96.51
2025-11-17,95.89
2025-11-18,95.76
2025-11-19,95.76
2025-11-20,95.85
2025-11-21,95.57
2025-11-24,95.5
2025-11-25,94.82
2025-11-26,94.61
2025-11-27,94.36
2025-11-28,94.01
2025-12-01,94.03
2025-12-02,94.0
2025-12-03,93.87
2025-12-04,94.12
2025-12-05,94.16
2025-12-08,94.23
2025-12-09,94.13
2025-12-10,94.31
2025-12-11,94.13
2025-12-12,94.24
2025-12-15,93.39
2025-12-16,93.29
2025-12-17,93.38
2025-12-18,93.33
2025-12-19,93.4
2025-12-22,93.42
2025-12-23,93.26
2025-12-24,93.16
2025-12-29,93.07
2025-12-30,93.06
2025-12-31,92.93
2026-01-05,93.34
2026-01-06,93.4
2026-01-07,93.65
2026-01-08,93.62
2026-01-09,93.46
2026-01-12,93.39
2026-01-13,93.55
2026-01-14,93.61
2026-01-15,92.93
2026-01-16,93.09
2026-01-19,93.13
2026-01-20,92.83
2026-01-21,92.96
2026-01-22,93.26
2026-01-23,93.2
2026-01-26,93.12
2026-01-27,93.18
2026-01-28,93.23
2026-01-29,93.48
2026-01-30,93.46
2026-02-02,93.2
2026-02-03,93.23
2026-02-04,93.36
2026-02-05,93.21
2026-02-06,93.06
2026-02-09,93.03
2026-02-10,93.05
2026-02-11,93.21
2026-02-12,92.98
2026-02-13,93.08
2026-02-24,92.42
2026-02-25,92.22
2026-02-26,92.07
2026-02-27,92.25
2026-03-02,92.6
2026-03-03,92.49
2026-03-04,91.85
2026-03-05,92.1
2026-03-06,91.89
2026-03-09,91.16
2026-03-10,91.34
2026-03-11,91.39
