csvdate,nav
2021-12-06,13.8827
2021-12-07,14.1455
2021-12-08,14.2509
2021-12-09,14.494
2021-12-10,14.3144
2021-12-13,14.2727
2021-12-14,14.145
2021-12-15,13.9403
2021-12-16,14.0404
2021-12-17,13.7308
2021-12-20,13.4158
2021-12-21,13.5563
2021-12-22,13.6019
2021-12-23,13.7038
2021-12-24,13.7184
2021-12-28,13.6956
2021-12-29,13.5482
2021-12-30,13.7008
2021-12-31,13.881
2022-01-04,13.7947
2022-01-05,13.4676
2022-01-06,13.389
2022-01-07,13.3474
2022-01-10,13.5083
2022-01-11,13.4673
2022-01-12,13.7002
2022-01-13,13.5326
2022-01-14,13.4867
2022-01-17,13.4714
2022-01-18,13.4625
2022-01-19,13.4599
2022-01-20,13.8451
2022-01-21,13.8038
2022-01-24,13.732
2022-01-25,13.4756
2022-01-26,13.2146
2022-01-27,12.7749
2022-01-28,12.6111
2022-02-07,12.9666
2022-02-08,12.8638
2022-02-09,13.1292
2022-02-10,13.2407
2022-02-11,13.0904
2022-02-14,12.7737
2022-02-15,12.76
2022-02-16,12.9415
2022-02-17,13.0058
2022-02-18,12.7886
2022-02-21,12.7004
2022-02-22,12.4303
2022-02-23,12.5635
2022-02-24,12.0997
2022-02-25,12.1253
2022-02-28,12.1317
2022-03-01,12.2571
2022-03-02,12.0602
2022-03-03,12.028
2022-03-04,11.7141
2022-03-07,11.2361
2022-03-08,10.9573
2022-03-09,10.8983
2022-03-10,11.0648
2022-03-11,10.8559
2022-03-14,10.2026
2022-03-15,9.6764
2022-03-16,10.4359
2022-03-17,11.143
2022-03-18,11.0957
2022-03-21,10.9854
2022-03-22,11.1735
2022-03-23,11.3356
2022-03-24,11.2488
2022-03-25,10.9495
2022-03-28,10.9703
2022-03-29,11.0083
2022-03-30,11.2457
2022-03-31,11.0655
2022-04-01,11.1318
2022-04-06,11.1427
2022-04-07,10.944
2022-04-08,10.9491
2022-04-11,10.5019
2022-04-12,10.6451
2022-04-13,10.7079
2022-04-14,10.8527
2022-04-19,10.529
2022-04-20,10.4347
2022-04-21,10.2906
2022-04-22,10.2807
2022-04-25,9.8221
2022-04-26,9.8794
2022-04-27,9.9547
2022-04-28,10.1056
2022-04-29,10.4758
2022-05-05,10.2616
2022-05-06,9.8569
2022-05-10,9.7635
2022-05-11,9.8899
2022-05-12,9.6881
2022-05-13,9.8372
2022-05-16,9.8269
2022-05-17,10.1362
2022-05-18,10.213
2022-05-19,10.0592
2022-05-20,10.3182
2022-05-23,10.2019
2022-05-24,9.9432
2022-05-25,9.9638
2022-05-26,9.9337
2022-05-27,10.1074
2022-05-30,10.3846
2022-05-31,10.6452
2022-06-01,10.5519
2022-06-02,10.5001
2022-06-06,10.7716
2022-06-07,10.7234
2022-06-08,10.9732
2022-06-09,10.8476
2022-06-10,10.852
2022-06-13,10.4776
2022-06-14,10.5569
2022-06-15,10.6377
2022-06-16,10.4745
2022-06-17,10.5672
2022-06-20,10.5899
2022-06-21,10.7698
2022-06-22,10.5121
2022-06-23,10.6142
2022-06-24,10.8156
2022-06-27,11.0172
2022-06-28,11.113
2022-06-29,10.9066
2022-06-30,10.8942
2022-07-04,10.8144
2022-07-05,10.7984
2022-07-06,10.5769
2022-07-07,10.6581
2022-07-08,10.6408
2022-07-11,10.3878
2022-07-12,10.2541
2022-07-13,10.3037
2022-07-14,10.2654
2022-07-15,10.1496
2022-07-18,10.362
2022-07-19,10.3188
2022-07-20,10.4036
2022-07-21,10.3843
2022-07-22,10.3723
2022-07-25,10.346
2022-07-26,10.3946
2022-07-27,10.3242
2022-07-28,10.3032
2022-07-29,10.1305
2022-08-01,10.0941
2022-08-02,9.9138
2022-08-03,9.937
2022-08-04,10.0533
2022-08-05,10.1758
2022-08-08,10.1184
2022-08-09,10.1037
2022-08-10,9.9398
2022-08-11,10.2404
2022-08-12,10.3177
2022-08-15,10.3091
2022-08-16,10.2073
2022-08-17,10.2632
2022-08-18,10.1813
2022-08-19,10.1159
2022-08-22,10.0778
2022-08-23,9.9763
2022-08-24,9.8642
2022-08-25,10.1533
2022-08-26,10.2162
2022-08-29,10.1349
2022-08-30,10.1109
2022-08-31,10.2427
2022-09-01,10.0594
2022-09-02,10.0022
2022-09-05,9.9337
2022-09-06,9.9067
2022-09-07,9.7879
2022-09-08,9.7458
2022-09-09,9.9911
2022-09-13,10.0413
2022-09-14,9.8774
2022-09-15,9.9232
2022-09-16,9.7337
2022-09-19,9.6518
2022-09-20,9.7402
2022-09-21,9.5444
2022-09-22,9.4367
2022-09-23,9.3103
2022-09-26,9.241
2022-09-27,9.3349
2022-09-28,9.0745
2022-09-29,9.0132
2022-09-30,8.978
2022-10-10,8.8748
2022-10-11,8.5985
2022-10-12,8.5604
2022-10-13,8.4132
2022-10-14,8.5378
2022-10-17,8.5046
2022-10-18,8.6297
2022-10-19,8.4007
2022-10-20,8.2888
2022-10-21,8.2145
2022-10-24,7.6599
2022-10-25,7.6305
2022-10-26,7.7832
2022-10-27,7.8326
2022-10-28,7.5944
2022-10-31,7.6036
2022-11-01,7.8677
2022-11-02,8.0008
2022-11-03,7.8919
2022-11-04,8.1779
2022-11-07,8.2975
2022-11-08,8.2755
2022-11-09,8.2831
2022-11-10,8.2435
2022-11-11,8.7662
2022-11-14,8.9467
2022-11-15,9.24
2022-11-16,9.1655
2022-11-17,9.1249
2022-11-18,9.0857
2022-11-21,8.9342
2022-11-22,8.8677
2022-11-23,8.8767
2022-11-24,8.9673
2022-11-25,8.9513
2022-11-28,8.9065
2022-11-29,9.3133
2022-11-30,9.5271
