csvdate,nav
2021-12-03,1.1301
2021-12-06,1.129
2021-12-07,1.1506
2021-12-08,1.1542
2021-12-09,1.156
2021-12-10,1.1519
2021-12-13,1.1461
2021-12-14,1.1371
2021-12-15,1.1368
2021-12-16,1.1447
2021-12-17,1.1334
2021-12-20,1.1153
2021-12-21,1.1296
2021-12-22,1.1376
2021-12-23,1.1445
2021-12-24,1.1456
2021-12-28,1.1528
2021-12-29,1.1502
2021-12-30,1.149
2021-12-31,1.1538
2022-01-04,1.1449
2022-01-05,1.1363
2022-01-06,1.1299
2022-01-07,1.1375
2022-01-10,1.139
2022-01-11,1.1433
2022-01-12,1.1604
2022-01-13,1.1593
2022-01-14,1.1547
2022-01-17,1.1535
2022-01-18,1.1443
2022-01-19,1.1372
2022-01-20,1.1475
2022-01-21,1.1355
2022-01-24,1.1215
2022-01-25,1.1101
2022-01-26,1.1134
2022-01-27,1.0964
2022-01-28,1.0978
2022-02-07,1.1266
2022-02-08,1.1257
2022-02-09,1.1428
2022-02-10,1.1432
2022-02-11,1.1352
2022-02-14,1.1195
2022-02-15,1.1224
2022-02-16,1.1345
2022-02-17,1.1299
2022-02-18,1.1185
2022-02-21,1.111
2022-02-22,1.0985
2022-02-23,1.0956
2022-02-24,1.0686
2022-02-25,1.0844
2022-02-28,1.083
2022-03-01,1.075
2022-03-02,1.0723
2022-03-03,1.0698
2022-03-04,1.0452
2022-03-07,1.0162
2022-03-08,1.0061
2022-03-09,1.0227
2022-03-10,1.0292
2022-03-11,1.0173
2022-03-14,1.0
2022-03-15,0.9855
2022-03-16,1.0275
2022-03-17,1.0591
2022-03-18,1.0603
2022-03-21,1.0557
2022-03-22,1.071
2022-03-23,1.0718
2022-03-24,1.0701
2022-03-25,1.0613
2022-03-28,1.0626
2022-03-29,1.079
2022-03-30,1.0833
2022-03-31,1.0731
2022-04-01,1.0545
2022-04-06,1.0447
2022-04-07,1.0371
2022-04-08,1.0399
2022-04-11,1.0247
2022-04-12,1.0224
2022-04-13,1.0272
2022-04-14,1.0279
2022-04-19,1.0175
2022-04-20,1.0214
2022-04-21,1.0132
2022-04-22,0.9989
2022-04-25,0.9796
2022-04-26,0.9751
2022-04-27,0.9718
2022-04-28,0.9834
2022-04-29,0.9935
2022-05-05,0.9842
2022-05-06,0.9668
2022-05-10,0.9438
2022-05-11,0.9466
2022-05-12,0.9344
2022-05-13,0.9526
2022-05-16,0.9535
2022-05-17,0.9735
2022-05-18,0.966
2022-05-19,0.9551
2022-05-20,0.9676
2022-05-23,0.9738
2022-05-24,0.9663
2022-05-25,0.9688
2022-05-26,0.9751
2022-05-27,0.992
2022-05-30,1.0031
2022-05-31,1.0024
2022-06-01,0.9977
2022-06-02,0.9981
2022-06-06,1.0039
2022-06-07,1.0012
2022-06-08,1.0072
2022-06-09,0.9955
2022-06-10,0.9797
2022-06-13,0.9492
2022-06-14,0.942
2022-06-15,0.9481
2022-06-16,0.9353
2022-06-17,0.9326
2022-06-20,0.9361
2022-06-21,0.9482
2022-06-22,0.9387
2022-06-23,0.9439
2022-06-24,0.9618
2022-06-27,0.973
2022-06-28,0.9736
2022-06-29,0.9636
2022-06-30,0.9553
2022-07-04,0.9444
2022-07-05,0.9397
2022-07-06,0.9348
2022-07-07,0.9439
2022-07-08,0.9463
2022-07-11,0.9324
2022-07-12,0.9245
2022-07-13,0.9237
2022-07-14,0.9174
2022-07-15,0.9185
2022-07-18,0.9294
2022-07-19,0.9348
2022-07-20,0.9407
2022-07-21,0.9411
2022-07-22,0.9434
2022-07-25,0.9402
2022-07-26,0.9424
2022-07-27,0.9437
2022-07-28,0.9503
2022-07-29,0.9483
2022-08-01,0.9526
2022-08-02,0.9396
2022-08-03,0.9413
2022-08-04,0.9498
2022-08-05,0.9489
2022-08-08,0.9488
2022-08-09,0.9442
2022-08-10,0.9479
2022-08-11,0.9575
2022-08-12,0.9629
2022-08-15,0.9632
2022-08-16,0.96
2022-08-17,0.9579
2022-08-18,0.9554
2022-08-19,0.9475
2022-08-22,0.9367
2022-08-23,0.933
2022-08-24,0.9297
2022-08-25,0.9455
2022-08-26,0.9392
2022-08-29,0.928
2022-08-30,0.9267
2022-08-31,0.9235
2022-09-01,0.9105
2022-09-02,0.9107
2022-09-05,0.9043
2022-09-06,0.9018
2022-09-07,0.8998
2022-09-08,0.9041
2022-09-09,0.9199
2022-09-13,0.9138
2022-09-14,0.9022
2022-09-15,0.8992
2022-09-16,0.8911
2022-09-19,0.8879
2022-09-20,0.8877
2022-09-21,0.8758
2022-09-22,0.8658
2022-09-23,0.8515
2022-09-26,0.8425
2022-09-27,0.8423
2022-09-28,0.8357
2022-09-29,0.8334
2022-09-30,0.8302
2022-10-10,0.8292
2022-10-11,0.8173
2022-10-12,0.8141
2022-10-13,0.8134
2022-10-14,0.817
2022-10-17,0.8218
2022-10-18,0.8317
2022-10-19,0.8217
2022-10-20,0.8172
2022-10-21,0.8169
2022-10-24,0.8077
2022-10-25,0.8161
2022-10-26,0.8226
2022-10-27,0.8223
2022-10-28,0.8145
2022-10-31,0.8113
2022-11-01,0.825
2022-11-02,0.8274
2022-11-03,0.8137
2022-11-04,0.8333
2022-11-07,0.8463
2022-11-08,0.8518
2022-11-09,0.8435
2022-11-10,0.8574
2022-11-11,0.8875
2022-11-14,0.8869
2022-11-15,0.9034
2022-11-16,0.8984
2022-11-17,0.8907
2022-11-18,0.8942
2022-11-21,0.8843
2022-11-22,0.8873
2022-11-23,0.8949
2022-11-24,0.9019
2022-11-25,0.8989
2022-11-28,0.8898
2022-11-29,0.903
2022-11-30,0.9135
2022-12-01,0.9255
2022-12-02,0.9224
2022-12-05,0.9288
2022-12-06,0.9227
2022-12-07,0.9111
2022-12-08,0.9217
2022-12-09,0.929
2022-12-12,0.922
2022-12-13,0.9315
2022-12-14,0.9343
2022-12-15,0.9163
2022-12-16,0.9117
2022-12-19,0.9075
2022-12-20,0.906
2022-12-21,0.9105
2022-12-22,0.9144
2022-12-23,0.9114
2022-12-28,0.9131
2022-12-29,0.9152
2022-12-30,0.9142
2023-01-03,0.9175
2023-01-04,0.9312
2023-01-05,0.9313
2023-01-06,0.9407
2023-01-09,0.9547
2023-01-10,0.953
2023-01-11,0.9588
2023-01-12,0.9661
2023-01-13,0.9761
2023-01-16,0.9741
2023-01-17,0.9727
2023-01-18,0.9743
2023-01-19,0.9678
2023-01-20,0.9768
2023-01-30,0.9829
2023-01-31,0.9792
2023-02-01,0.9882
2023-02-02,0.9925
2023-02-03,0.9828
2023-02-06,0.9657
2023-02-07,0.9702
2023-02-08,0.9706
2023-02-09,0.9758
2023-02-10,0.9653
2023-02-13,0.967
2023-02-14,0.9671
2023-02-15,0.9595
2023-02-16,0.9619
2023-02-17,0.9539
2023-02-20,0.9582
2023-02-21,0.9462
2023-02-22,0.9393
2023-02-23,0.9401
2023-02-24,0.9275
2023-02-27,0.9294
2023-02-28,0.9263
2023-03-01,0.9393
2023-03-02,0.9377
2023-03-03,0.9466
2023-03-06,0.949
2023-03-07,0.9411
2023-03-08,0.9333
2023-03-09,0.9279
2023-03-10,0.9162
2023-03-13,0.9193
2023-03-14,0.9118
2023-03-15,0.9096
2023-03-16,0.9085
2023-03-17,0.9139
2023-03-20,0.9086
2023-03-21,0.9169
2023-03-22,0.9229
2023-03-23,0.9335
2023-03-24,0.9284
2023-03-27,0.9238
2023-03-28,0.9295
2023-03-29,0.9395
2023-03-30,0.9463
2023-03-31,0.952
2023-04-03,0.951
2023-04-04,0.9495
2023-04-06,0.9458
2023-04-11,0.9507
2023-04-12,0.9492
2023-04-13,0.9539
2023-04-14,0.9537
2023-04-17,0.9553
2023-04-18,0.9552
2023-04-19,0.9497
2023-04-20,0.9498
2023-04-21,0.9432
2023-04-24,0.9416
2023-04-25,0.933
