csvdate,nav
2021-11-29,12.02
2021-11-30,11.89
2021-12-01,12.05
2021-12-02,12.19
2021-12-03,12.15
2021-12-06,12.13
2021-12-07,12.31
2021-12-08,12.36
2021-12-09,12.44
2021-12-10,12.37
2021-12-13,12.31
2021-12-14,12.26
2021-12-15,12.24
2021-12-16,12.31
2021-12-17,12.28
2021-12-20,12.1
2021-12-21,12.21
2021-12-22,12.26
2021-12-23,12.37
2021-12-24,12.39
2021-12-28,12.48
2021-12-29,12.48
2021-12-30,12.46
2021-12-31,12.49
2022-01-04,12.66
2022-01-05,12.66
2022-01-06,12.51
2022-01-07,12.66
2022-01-10,12.76
2022-01-11,12.78
2022-01-12,12.91
2022-01-13,12.91
2022-01-14,12.88
2022-01-17,12.89
2022-01-18,12.83
2022-01-19,12.84
2022-01-20,12.94
2022-01-21,12.85
2022-01-24,12.75
2022-01-25,12.57
2022-01-26,12.6
2022-01-27,12.43
2022-01-28,12.41
2022-02-07,12.72
2022-02-08,12.77
2022-02-09,12.96
2022-02-10,13.06
2022-02-11,13.04
2022-02-14,12.87
2022-02-15,12.85
2022-02-16,12.99
2022-02-17,13.0
2022-02-18,12.92
2022-02-21,12.93
2022-02-22,12.79
2022-02-23,12.8
2022-02-24,12.37
2022-02-25,12.43
2022-02-28,12.46
2022-03-01,12.5
2022-03-02,12.39
2022-03-03,12.46
2022-03-04,12.31
2022-03-07,12.01
2022-03-08,11.81
2022-03-09,11.85
2022-03-10,12.06
2022-03-11,11.97
2022-03-14,11.82
2022-03-15,11.53
2022-03-16,12.18
2022-03-17,12.24
2022-03-18,12.27
2022-03-21,12.19
2022-03-22,12.3
2022-03-23,12.35
2022-03-24,12.35
2022-03-25,12.28
2022-03-28,12.25
2022-03-29,12.3
2022-03-30,12.49
2022-03-31,12.43
2022-04-01,12.43
2022-04-06,12.41
2022-04-07,12.28
2022-04-08,12.3
2022-04-11,12.14
2022-04-12,12.15
2022-04-13,12.2
2022-04-14,12.26
2022-04-19,12.08
2022-04-20,12.12
2022-04-21,12.1
2022-04-22,11.97
2022-04-25,11.71
2022-04-26,11.67
2022-04-27,11.56
2022-04-28,11.65
2022-04-29,11.85
2022-05-05,11.86
2022-05-06,11.58
2022-05-10,11.31
2022-05-11,11.33
2022-05-12,11.07
2022-05-13,11.28
2022-05-16,11.34
