csvdate,nav
2022-01-31,11.74
2022-02-04,12.07
2022-02-07,12.13
2022-02-08,12.09
2022-02-09,12.27
2022-02-10,12.32
2022-02-11,12.36
2022-02-14,12.16
2022-02-15,12.02
2022-02-16,12.2
2022-02-17,12.2
2022-02-18,12.1
2022-02-21,12.03
2022-02-22,11.81
2022-02-23,11.84
2022-02-24,11.48
2022-02-25,11.51
2022-02-28,11.53
2022-03-01,11.6
2022-03-02,11.47
2022-03-03,11.47
2022-03-04,11.27
2022-03-07,10.92
2022-03-08,10.73
2022-03-09,10.68
2022-03-10,10.89
2022-03-11,10.72
2022-03-14,10.2
2022-03-15,9.68
2022-03-16,10.2
2022-03-17,10.67
2022-03-18,10.66
2022-03-21,10.59
2022-03-22,10.76
2022-03-23,10.89
2022-03-24,10.85
2022-03-25,10.55
2022-03-28,10.66
2022-03-29,10.8
2022-03-30,10.93
2022-03-31,10.78
2022-04-01,10.81
2022-04-04,11.12
2022-04-06,10.89
2022-04-07,10.75
2022-04-08,10.81
2022-04-11,10.52
2022-04-12,10.55
2022-04-13,10.59
2022-04-14,10.67
2022-04-19,10.44
2022-04-20,10.27
2022-04-21,10.11
2022-04-22,10.09
2022-04-25,9.74
2022-04-26,9.75
2022-04-27,9.78
2022-04-28,9.89
2022-04-29,10.21
2022-05-03,10.25
2022-05-04,10.14
2022-05-05,10.05
2022-05-06,9.71
2022-05-10,9.6
2022-05-11,9.64
2022-05-12,9.44
2022-05-13,9.62
2022-05-16,9.61
2022-05-17,9.87
2022-05-18,9.86
2022-05-19,9.69
2022-05-20,9.92
2022-05-23,9.82
2022-05-24,9.64
2022-05-25,9.65
2022-05-26,9.63
2022-05-27,9.79
2022-05-30,9.96
2022-05-31,10.15
2022-06-01,10.15
2022-06-02,10.15
2022-06-06,10.39
2022-06-07,10.34
2022-06-08,10.49
2022-06-09,10.4
2022-06-10,10.39
2022-06-13,10.06
2022-06-14,10.06
2022-06-15,10.19
2022-06-16,10.03
2022-06-17,10.18
2022-06-20,10.27
2022-06-21,10.38
2022-06-22,10.19
2022-06-23,10.35
2022-06-24,10.65
2022-06-27,10.86
2022-06-28,10.96
2022-06-29,10.72
2022-06-30,10.73
2022-07-04,10.69
2022-07-05,10.68
2022-07-06,10.58
2022-07-07,10.61
2022-07-08,10.6
2022-07-11,10.33
2022-07-12,10.22
2022-07-13,10.22
2022-07-14,10.2
2022-07-15,9.99
2022-07-18,10.21
2022-07-19,10.08
2022-07-20,10.18
2022-07-21,10.02
2022-07-22,10.04
2022-07-25,10.01
2022-07-26,10.15
2022-07-27,10.07
2022-07-28,10.05
2022-07-29,9.82
2022-08-01,9.87
2022-08-02,9.7
2022-08-03,9.71
2022-08-04,9.85
2022-08-05,9.87
2022-08-08,9.79
2022-08-09,9.75
2022-08-10,9.61
2022-08-11,9.75
2022-08-12,9.8
2022-08-15,9.76
2022-08-16,9.67
2022-08-17,9.7
2022-08-18,9.65
2022-08-19,9.62
2022-08-22,9.54
2022-08-23,9.48
2022-08-24,9.36
2022-08-26,9.65
2022-08-29,9.61
2022-08-30,9.57
2022-08-31,9.58
2022-09-01,9.42
2022-09-02,9.35
2022-09-05,9.29
2022-09-06,9.31
2022-09-07,9.26
2022-09-08,9.16
