holding_name,holding_name_alt,type,fund_count
US TSY 4.125% 08/44,US TSY 4.125% 08/44,bond,1
US TSY 4.125% 11/29,US TSY 4.125% 11/29,bond,1
US TSY 4.125% 11/32,US TSY 4.125% 11/32,bond,1
US TSY 5% 5/37,US TSY 5% 5/37,bond,1
ALPHABET INC-CL A,ALPHABET INC-CL A,equity,1
ALPHABET INC-CL C,ALPHABET INC-CL C,equity,1
AMAZON.COM INC,AMAZON.COM INC,equity,1
Alphabet Inc (Class A),Alphabet Inc (Class A),equity,1
Alphabet Inc (Class C),Alphabet Inc (Class C),equity,1
Alphabet Inc-Cl A,Alphabet Inc-Cl A,equity,1
Apple Inc,Apple Inc,equity,1
BROADCOM INC,BROADCOM INC,equity,1
Biocon Biologics 6.67% 09/10/2029,Biocon Biologics 6.67% 09/10/2029,equity,1
FAST RETAILING,FAST RETAILING,equity,1
Futu Holdings,Futu Holdings,equity,1
Greenko Wind Projects Maurit 7.25% 27/09/2028,Greenko Wind Projects Maurit 7.25% 27/09/2028,equity,1
HOYA,HOYA,equity,1
Hyundai Motor Co,Hyundai Motor Co,equity,1
IRB Infrastructure Developer 7.11% 11/03/2032,IRB Infrastructure Developer 7.11% 11/03/2032,equity,1
ISHARES MSCI EMERGING MARKETS ASIA ETF 4.9% 通訊服務,ISHARES MSCI EMERGING MARKETS ASIA ETF 4.9% 通訊服務,equity,1
Invesco Physical Gold Etc,Invesco Physical Gold Etc,equity,1
JSW钢铁有限公司 5.05% 05/04/2032,JSW钢铁有限公司 5.05% 05/04/2032,equity,1
MediaTek,MediaTek,equity,1
Meta平台股份有限公司,Meta平台股份有限公司,equity,1
Midea Group,Midea Group,equity,1
Nintendo,Nintendo,equity,1
Nvidia Corp,Nvidia Corp,equity,1
Piramal Finance 7.80% 29/01/2028,Piramal Finance 7.80% 29/01/2028,equity,1
SAMSUNG ELECTRONICS CO LTD,SAMSUNG ELECTRONICS CO LTD,equity,1
Sa su ng le ctr on ic Co td,Sa su ng le ctr on ic Co td,equity,1
Sammaan Capital 7.50% 16/10/2030,Sammaan Capital 7.50% 16/10/2030,equity,1
Shriram Finance Ltd. 6.15% 03/04/2028,Shriram Finance Ltd. 6.15% 03/04/2028,equity,1
Sk Hynix Inc,Sk Hynix Inc,equity,1
Studio城市金融有限公司 5.00% 15/01/2029,Studio城市金融有限公司 5.00% 15/01/2029,equity,1
Sungrow Power Supply,Sungrow Power Supply,equity,1
Taiwan Semiconductor Manufac,Taiwan Semiconductor Manufac,equity,1
Telstra Group,Telstra Group,equity,1
Tencent Holdings Ltd,Tencent Holdings Ltd,equity,1
Us Treasury N/B 4% 31.01.2029 Uns,Us Treasury N/B 4% 31.01.2029 Uns,equity,1
Us Treasury N/B 4.125% 15.11.2032 Uns,Us Treasury N/B 4.125% 15.11.2032 Uns,equity,1
Us Treasury N/B 4.25% 31.12.2026 Uns,Us Treasury N/B 4.25% 31.12.2026 Uns,equity,1
VANGUARD S&P 500 ETF 8.6% 能源相關,VANGUARD S&P 500 ETF 8.6% 能源相關,equity,1
Zhongji Innolight,Zhongji Innolight,equity,1
上海实业环境控股有限公司,上海实业环境控股有限公司,equity,1
中国光大环境集团有限公司,中国光大环境集团有限公司,equity,1
中国建筑国际集团有限公司,中国建筑国际集团有限公司,equity,1
中国建设银行股份有限公司,中国建设银行股份有限公司,equity,1
中国电信股份有限公司,中国电信股份有限公司,equity,1
中国移动有限公司,中国移动有限公司,equity,1
中国工商银行股份有限公司－H,中国工商银行股份有限公司－H,equity,1
中国建设银行股份有限公司－H,中国建设银行股份有限公司－H,equity,1
中国移动有限公司－H,中国移动有限公司－H,equity,1
中银保诚日本中小企业机遇基金,中银保诚日本中小企业机遇基金,equity,1
亚马逊公司,亚马逊公司,equity,1
其他,其他,equity,1
原材料 公用 2.1%,原材料 公用 2.1%,equity,1
友邦保险控股有限公司,友邦保险控股有限公司,equity,1
台光电子材料股份有限公司,台光电子材料股份有限公司,equity,1
宁德时代新能源科技股份,宁德时代新能源科技股份,equity,1
小米集團－B類別,小米集團－B類別,equity,1
微软,微软,equity,1
招商银行股份有限公司,招商银行股份有限公司,equity,1
摩根大通,摩根大通,equity,1
汇丰控股有限公司 9.0% 通讯服务,汇丰控股有限公司 9.0% 通讯服务,equity,1
紫金矿业集团股份有限公司,紫金矿业集团股份有限公司,equity,1
美团－B类别,美团－B类别,equity,1
腾讯控股有限公司,腾讯控股有限公司,equity,1
英伟达,英伟达,equity,1
苹果公司,苹果公司,equity,1
菲律宾国际债券 4.50% 14/07/2028,菲律宾国际债券 4.50% 14/07/2028,equity,1
远东宏信有限公司,远东宏信有限公司,equity,1
镍业有限公司 9.00% 30/09/2030,镍业有限公司 9.00% 30/09/2030,equity,1
阿斯麦控股公司,阿斯麦控股公司,equity,1
阿里巴巴集团控股有限公司,阿里巴巴集团控股有限公司,equity,1
香港交易及结算所有限公司,香港交易及结算所有限公司,equity,1
香港电讯信托与香港电讯,香港电讯信托与香港电讯,equity,1
