holding_name_std,holding_name_raw,type,fund_count
McKesson Corp.,McKesson Corp.,equity,3
Morgan Stanley,Morgan Stanley,equity,3
Oversea-Chinese Banking,Oversea-Chinese Banking,equity,3
Roche Holding AG,Roche Holding AG,equity,3
SK HYNIX INC,SK HYNIX INC,equity,3
SK海力士,SK海力士,equity,3
TENCENT HOLDINGS LTD,TENCENT HOLDINGS LTD,equity,3
Taiwan Semiconductor,Taiwan Semiconductor,equity,3
Tencent,Tencent,equity,3
UNICREDIT SPA,UNICREDIT SPA,equity,3
博通,博通,equity,3
宁德时代,宁德时代,equity,3
施耐德电气,施耐德电气,equity,3
法国兴业银行,法国兴业银行,equity,3
渣打银行,渣打银行,equity,3
腾讯,腾讯,equity,3
阿斯利康,阿斯利康,equity,3
阿斯麦,阿斯麦,equity,3
ABB LTD,ABB LTD,equity,2
AERCAP HOLDINGS NV,AERCAP HOLDINGS NV,equity,2
AIA GROUP LTD,AIA GROUP LTD,equity,2
AIA Group,AIA Group,equity,2
AIA Group Limited,AIA Group Limited,equity,2
ALLIANZ GLOBAL FLOAT RT NTS + WT USD,ALLIANZ GLOBAL FLOAT RT NTS + WT USD,equity,2
AM FLOAT RAT US CORP UC ETF (C),AM FLOAT RAT US CORP UC ETF (C),equity,2
AMPHENOL CORP-CL A,AMPHENOL CORP-CL A,equity,2
AMUNDI MON MKT SHT TERM (USD)-OV,AMUNDI MON MKT SHT TERM (USD)-OV,equity,2
ASML,ASML,equity,2
ASML Holding NV,ASML Holding NV,equity,2
ASR NEDERLAND NV,ASR NEDERLAND NV,equity,2
"AbbVie, Inc.","AbbVie, Inc.",equity,2
Alibaba,Alibaba,equity,2
Allianz,Allianz,equity,2
Amazon.com,Amazon.com,equity,2
Apple,Apple,equity,2
BANCO DO BRASIL SA,BANCO DO BRASIL SA,equity,2
BP PLC,BP PLC,equity,2
Bristol-Myers Squibb Co,Bristol-Myers Squibb Co,equity,2
CAIXABANK SA,CAIXABANK SA,equity,2
CF Industries Holdings Inc (Fertilizers & Agricultural Chemicals),CF Industries Holdings Inc (Fertilizers & Agricultural Chemicals),equity,2
CMS ENERGY CORP,CMS ENERGY CORP,equity,2
Carrefour SA,Carrefour SA,equity,2
China Merchants Bank,China Merchants Bank,equity,2
"China Merchants Bank Co., Ltd.","China Merchants Bank Co., Ltd.",equity,2
Continental AG,Continental AG,equity,2
Corteva Inc (Fertilizers & Agricultural Chemicals),Corteva Inc (Fertilizers & Agricultural Chemicals),equity,2
DBS,DBS,equity,2
DEUTSCHE BANK AG,DEUTSCHE BANK AG,equity,2
DEUTSCHE BOERSE AG,DEUTSCHE BOERSE AG,equity,2
"Delta Electronics, Inc.","Delta Electronics, Inc.",equity,2
E.ON SE,E.ON SE,equity,2
ENGIE SA,ENGIE SA,equity,2
EQUITY RESIDENTIAL REIT,EQUITY RESIDENTIAL REIT,equity,2
Eli Lilly & Co.,Eli Lilly & Co.,equity,2
Grupo Financiero Banorte SAB de CV,Grupo Financiero Banorte SAB de CV,equity,2
HDFC Bank,HDFC Bank,equity,2
HYUNDAI MOTOR CO,HYUNDAI MOTOR CO,equity,2
Henkel AG & Co KGaA,Henkel AG & Co KGaA,equity,2
Hong Kong Exchanges & Clearing,Hong Kong Exchanges & Clearing,equity,2
ICICI Bank,ICICI Bank,equity,2
ICICI Bank Ltd.,ICICI Bank Ltd.,equity,2
INDUSTRIA DE DISENO TXTL IN SA,INDUSTRIA DE DISENO TXTL IN SA,equity,2
ING GROEP NV,ING GROEP NV,equity,2
ISHARES $ FLOATING RATE BD UCITS ETF USD,ISHARES $ FLOATING RATE BD UCITS ETF USD,equity,2
ISHARES $ SHT DURATION HY CRP BD UCITS E,ISHARES $ SHT DURATION HY CRP BD UCITS E,equity,2
ISHARES $ ULTRASHORT BOND UCITS ETF USD,ISHARES $ ULTRASHORT BOND UCITS ETF USD,equity,2
ISHARES CORP BD 0-3YR ESG SRI ETF ACC,ISHARES CORP BD 0-3YR ESG SRI ETF ACC,equity,2
ISHARES MSCI JAPAN UCITS ETF (,ISHARES MSCI JAPAN UCITS ETF (,equity,2
ISHARES S&P 500 SWAP UCITS ETF USD,ISHARES S&P 500 SWAP UCITS ETF USD,equity,2
Intesa Sanpaolo SpA,Intesa Sanpaolo SpA,equity,2
Invesco Funds-Invesco Asian Equity Fund,Invesco Funds-Invesco Asian Equity Fund,equity,2
Itau Unibanco Holding SA,Itau Unibanco Holding SA,equity,2
JPMORGAN CHASE & CO,JPMORGAN CHASE & CO,equity,2
KONE OYJ,KONE OYJ,equity,2
LLOYDS BANKING GROUP PLC,LLOYDS BANKING GROUP PLC,equity,2
Latam Airlines Group SA,Latam Airlines Group SA,equity,2
MEDIATEK INC,MEDIATEK INC,equity,2
MEDTRONIC PLC,MEDTRONIC PLC,equity,2
MORGAN STANLEY,MORGAN STANLEY,equity,2
MTU航空发动机,MTU航空发动机,equity,2
Meituan,Meituan,equity,2
Meta Platforms,Meta Platforms,equity,2
Midea Group,Midea Group,equity,2
NATIONAL GRID PLC,NATIONAL GRID PLC,equity,2
NU HOLDINGS LTD,NU HOLDINGS LTD,equity,2
NetEase,NetEase,equity,2
Novartis,Novartis,equity,2
Novartis AG,Novartis AG,equity,2
Nutrien Ltd (Fertilizers & Agricultural Chemicals),Nutrien Ltd (Fertilizers & Agricultural Chemicals),equity,2
ORLEN SA,ORLEN SA,equity,2
PDD Holdings,PDD Holdings,equity,2
PRINCIPAL GI FIN UNCON EM FX INC I2 ACC,PRINCIPAL GI FIN UNCON EM FX INC I2 ACC,equity,2
"Ping An Insurance (Group) Company of China, Ltd.","Ping An Insurance (Group) Company of China, Ltd.",equity,2
Ping An Insurance Group,Ping An Insurance Group,equity,2
RENTOKIL INITIAL PLC,RENTOKIL INITIAL PLC,equity,2
ROLLS-ROYCE HOLDINGS PLC,ROLLS-ROYCE HOLDINGS PLC,equity,2
Repsol SA,Repsol SA,equity,2
SAMSUNG ELECTRONICS LTD,SAMSUNG ELECTRONICS LTD,equity,2
SK SQUARE CO LTD,SK SQUARE CO LTD,equity,2
SK hynix,SK hynix,equity,2
"SK hynix, Inc.","SK hynix, Inc.",equity,2
Sanofi SA,Sanofi SA,equity,2
Shell,Shell,equity,2
Shell PLC,Shell PLC,equity,2
State Bank of India,State Bank of India,equity,2
TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,equity,2
TECHTRONIC INDUSTRIES CO LTD,TECHTRONIC INDUSTRIES CO LTD,equity,2
TENCENT HLDGS LTD,TENCENT HLDGS LTD,equity,2
TESLA INC,TESLA INC,equity,2
TSMC,TSMC,equity,2
Tesla,Tesla,equity,2
Tyson Foods Inc (Packaged Foods & Meat),Tyson Foods Inc (Packaged Foods & Meat),equity,2
UNILEVER PLC,UNILEVER PLC,equity,2
VANGUARD USD CORPO 1-3 YEAR BD UCITS ETF,VANGUARD USD CORPO 1-3 YEAR BD UCITS ETF,equity,2
Vodafone Group PLC,Vodafone Group PLC,equity,2
WSP GLOBAL INC,WSP GLOBAL INC,equity,2
Williams Cos Inc,Williams Cos Inc,equity,2
Xiaomi,Xiaomi,equity,2
中国建设银行,中国建设银行,equity,2
伊格尔矿业,伊格尔矿业,equity,2
嘉信理财集团,嘉信理财集团,equity,2
巴里克黄金公司,巴里克黄金公司,equity,2
惠顿贵金属,惠顿贵金属,equity,2
淡水河谷,淡水河谷,equity,2
爱尔兰联合银行,爱尔兰联合银行,equity,2
礼来,礼来,equity,2
纽蒙特黄金,纽蒙特黄金,equity,2
罗氏,罗氏,equity,2
罗氏大药厂,罗氏大药厂,equity,2
裕信银行,裕信银行,equity,2
西门子,西门子,equity,2
赛峰集团,赛峰集团,equity,2
金罗斯黄金,金罗斯黄金,equity,2
阿里巴巴,阿里巴巴,equity,2
3I GROUP PLC,3I GROUP PLC,equity,1
ABB LTD-REG,ABB LTD-REG,equity,1
ACCENTURE PLC,ACCENTURE PLC,equity,1
ADVANCED MICRO DEVICES,ADVANCED MICRO DEVICES,equity,1
AENA SME SA,AENA SME SA,equity,1
AGCO Corp (Agricultural & Farm Machinery),AGCO Corp (Agricultural & Farm Machinery),equity,1
AGNICO EAGLE MINES LTD (ONTARIO),AGNICO EAGLE MINES LTD (ONTARIO),equity,1
AGREE REALTY REIT CORP,AGREE REALTY REIT CORP,equity,1
AIA,AIA,equity,1
AIB GROUP PLC,AIB GROUP PLC,equity,1
ALAMOS GOLD INC,ALAMOS GOLD INC,equity,1
ALEXANDER FUND TRUST,ALEXANDER FUND TRUST,equity,1
ALEXANDRIA REAL ESTATE EQUITIES RE,ALEXANDRIA REAL ESTATE EQUITIES RE,equity,1
ALIBABA GROUP HOLDING ADR REPRESENTATIVE,ALIBABA GROUP HOLDING ADR REPRESENTATIVE,equity,1
ALLIANZ,ALLIANZ,equity,1
ALLIANZ SE,ALLIANZ SE,equity,1
ALPHABET INC CL A,ALPHABET INC CL A,equity,1
ALPHABET INC CLASS A,ALPHABET INC CLASS A,equity,1
ALUMINUM CORP OF CHINA LTD,ALUMINUM CORP OF CHINA LTD,equity,1
AMAZON COM INC,AMAZON COM INC,equity,1
AMERICAN ELECTRIC POWER,AMERICAN ELECTRIC POWER,equity,1
AMERICAN EXPRESS CO,AMERICAN EXPRESS CO,equity,1
AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT,equity,1
AMPHENOL CORP,AMPHENOL CORP,equity,1
AMPHENOL CORP-CL A (美国),AMPHENOL CORP-CL A (美国),equity,1
ANGLO AMERICAN PLC,ANGLO AMERICAN PLC,equity,1
ANGLOGOLD ASHANTI PLC,ANGLOGOLD ASHANTI PLC,equity,1
APA Group NpV,APA Group NpV,equity,1
APOLLO DEBT SOLUTIONS BD,APOLLO DEBT SOLUTIONS BD,equity,1
APOLLO HOSPITALS ENTERPRISE LTD,APOLLO HOSPITALS ENTERPRISE LTD,equity,1
APPLIED MATERIAL INC,APPLIED MATERIAL INC,equity,1
ARPARA TECHNOLOGIES INC,ARPARA TECHNOLOGIES INC,equity,1
ASE Technology Holding,ASE Technology Holding,equity,1
ASML HOLDING NV,ASML HOLDING NV,equity,1
ASML HOLDING NV-NY REG SHS (荷兰),ASML HOLDING NV-NY REG SHS (荷兰),equity,1
ASML Holding,ASML Holding,equity,1
AXA SA,AXA SA,equity,1
AXIS BANK LTD,AXIS BANK LTD,equity,1
AbbVie Inc,AbbVie Inc,equity,1
Advanced Drainage Systems Inc,Advanced Drainage Systems Inc,equity,1
Aena SME SA,Aena SME SA,equity,1
Airbus SE,Airbus SE,equity,1
Alibaba Group Holding Limited,Alibaba Group Holding Limited,equity,1
Allianz SE-Alv Gy,Allianz SE-Alv Gy,equity,1
Alphabet Inc,Alphabet Inc,equity,1
Alphabet Inc. Class A,Alphabet Inc. Class A,equity,1
Amazon,Amazon,equity,1
Amazon.Com,Amazon.Com,equity,1
AppLovin 'A',AppLovin 'A',equity,1
AppLovin Corp,AppLovin Corp,equity,1
Apple Inc.,Apple Inc.,equity,1
Ares Management,Ares Management,equity,1
AstraZeneca,AstraZeneca,equity,1
Astronics Corp,Astronics Corp,equity,1
Autodesk Inc,Autodesk Inc,equity,1
BAE Systems PLC,BAE Systems PLC,equity,1
BAE Systems plc,BAE Systems plc,equity,1
BAIDU INC,BAIDU INC,equity,1
BANCO BRADESCO SA,BANCO BRADESCO SA,equity,1
BARRICK MINING CORP,BARRICK MINING CORP,equity,1
BAYERISCHE LANDESBK GIRQ,BAYERISCHE LANDESBK GIRQ,equity,1
BERKSHIRE HATHAWAY INC DEL,BERKSHIRE HATHAWAY INC DEL,equity,1
BHARTI AIRTEL LTD,BHARTI AIRTEL LTD,equity,1
BHP Group Ltd.,BHP Group Ltd.,equity,1
BLOCK INC,BLOCK INC,equity,1
BNP Paribas SA,BNP Paribas SA,equity,1
BOC AVIATION LTD,BOC AVIATION LTD,equity,1
BOSTON SCIENTIFIC CORP,BOSTON SCIENTIFIC CORP,equity,1
BP,BP,equity,1
BRIGHT HORIZONS FAMILY SOLUTIONS I,BRIGHT HORIZONS FAMILY SOLUTIONS I,equity,1
BROOKFIELD RENEWABLE NPV,BROOKFIELD RENEWABLE NPV,equity,1
BUNGE GLOBAL SA,BUNGE GLOBAL SA,equity,1
Baker Hughes Co,Baker Hughes Co,equity,1
Balchem Corp,Balchem Corp,equity,1
Banco Santander,Banco Santander,equity,1
Bank of China Ltd.,Bank of China Ltd.,equity,1
"BankUnited, Inc.","BankUnited, Inc.",equity,1
Barclays PLC,Barclays PLC,equity,1
Berkshire Hathaway,Berkshire Hathaway,equity,1
Broadcom Inc,Broadcom Inc,equity,1
CAMDEN PROPERTY TRUST,CAMDEN PROPERTY TRUST,equity,1
CAMECO CORP,CAMECO CORP,equity,1
CAPSTONE COPPER C CAD NPV,CAPSTONE COPPER C CAD NPV,equity,1
CARDINAL HEALTH INC,CARDINAL HEALTH INC,equity,1
CARETRUST REIT INC,CARETRUST REIT INC,equity,1
CATerpillAR INC,CATerpillAR INC,equity,1
CECO Environmental Corp,CECO Environmental Corp,equity,1
CENTERPPOINT ENERGY INC,CENTERPPOINT ENERGY INC,equity,1
CHENIERE ENERGY INC,CHENIERE ENERGY INC,equity,1
CHINA CONSTRUCTION BANK CORP,CHINA CONSTRUCTION BANK CORP,equity,1
CHINA MERCHANTS BANK CO LTD,CHINA MERCHANTS BANK CO LTD,equity,1
CIENA CORPORATION,CIENA CORPORATION,equity,1
CITIGROUP INC,CITIGROUP INC,equity,1
COCA-COLA,COCA-COLA,equity,1
COCA-COLA CO/THE,COCA-COLA CO/THE,equity,1
COGNIZANT TECH SOLUTIONS CORP,COGNIZANT TECH SOLUTIONS CORP,equity,1
COHERENT CORP (美国),COHERENT CORP (美国),equity,1
COMMERZBANK AG,COMMERZBANK AG,equity,1
CONTEMPORARY AMPEREX TECHN A,CONTEMPORARY AMPEREX TECHN A,equity,1
CONTEMPORARY AMPEREX TECHNOLOGY CO LTD,CONTEMPORARY AMPEREX TECHNOLOGY CO LTD,equity,1
CORNING INC (美国),CORNING INC (美国),equity,1
Canadian Pacific Kansas City,Canadian Pacific Kansas City,equity,1
Capitaland Ascendas REIT,Capitaland Ascendas REIT,equity,1
Capitaland Integrated Commercial Trust,Capitaland Integrated Commercial Trust,equity,1
Carrier Global,Carrier Global,equity,1
Cavco Industries Inc,Cavco Industries Inc,equity,1
Charles Schwab,Charles Schwab,equity,1
Chemring Group PLC,Chemring Group PLC,equity,1
Chevron,Chevron,equity,1
China Construction Bank,China Construction Bank,equity,1
China Construction Bank Corporation,China Construction Bank Corporation,equity,1
Coca-Cola Europacific Partners,Coca-Cola Europacific Partners,equity,1
Compeq Manufacturing,Compeq Manufacturing,equity,1
Contemporary Amperex Technology,Contemporary Amperex Technology,equity,1
Contemporary Amperex Technology Co Ltd,Contemporary Amperex Technology Co Ltd,equity,1
CoreWeave 'A',CoreWeave 'A',equity,1
Coterra Energy Inc,Coterra Energy Inc,equity,1
Credo Technology,Credo Technology,equity,1
Crowdstrike Holdings Inc,Crowdstrike Holdings Inc,equity,1
DBS GROUP HLDGS LTD,DBS GROUP HLDGS LTD,equity,1
DEUTSCHE POST AG,DEUTSCHE POST AG,equity,1
DEUTSCHE TELEKOM AG,DEUTSCHE TELEKOM AG,equity,1
DFI RETAIL GROUP HOLDINGS LTD,DFI RETAIL GROUP HOLDINGS LTD,equity,1
DIALOG AXIATA PLC,DIALOG AXIATA PLC,equity,1
DIGITAL RLTY TR INC,DIGITAL RLTY TR INC,equity,1
DONALDSON INC,DONALDSON INC,equity,1
DOOSAN ENERBILTY CO LTD,DOOSAN ENERBILTY CO LTD,equity,1
DYNO NOBEL LTD,DYNO NOBEL LTD,equity,1
Danone SA (Packaged Foods & Meat),Danone SA (Packaged Foods & Meat),equity,1
Deere & Co (Agricultural & Farm Machinery),Deere & Co (Agricultural & Farm Machinery),equity,1
Delta Electronics,Delta Electronics,equity,1
Dentsu Group Inc,Dentsu Group Inc,equity,1
Deutsche Bank AG,Deutsche Bank AG,equity,1
Deutsche Boerse AG,Deutsche Boerse AG,equity,1
Deutsche Telekom,Deutsche Telekom,equity,1
DoorDash 'A',DoorDash 'A',equity,1
EDP RENOVAVEIS SA,EDP RENOVAVEIS SA,equity,1
ELEVANCE HEALTH INC,ELEVANCE HEALTH INC,equity,1
EMBASSY OFFICE PARKS REIT,EMBASSY OFFICE PARKS REIT,equity,1
EOG Resources Inc,EOG Resources Inc,equity,1
EPIROC AB,EPIROC AB,equity,1
EQUINIX REIT INC,EQUINIX REIT INC,equity,1
EQUINOX GOLD CORP,EQUINOX GOLD CORP,equity,1
EQUITY LIFESTYLE PPTY'S INC,EQUITY LIFESTYLE PPTY'S INC,equity,1
ERICSSON,ERICSSON,equity,1
ESSILORLUXOTTICA,ESSILORLUXOTTICA,equity,1
EURO-Bobl FUTURE MAR26 OEH6,EURO-Bobl FUTURE MAR26 OEH6,equity,1
EVOLUTION MINING LTD,EVOLUTION MINING LTD,equity,1
East West Bancorp,East West Bancorp,equity,1
Eaton,Eaton,equity,1
Eli Lilly & Co,Eli Lilly & Co,equity,1
Elite Material,Elite Material,equity,1
Embassy Office Parks REIT,Embassy Office Parks REIT,equity,1
Enel SpA,Enel SpA,equity,1
Entergy Corp,Entergy Corp,equity,1
Equinor ASA,Equinor ASA,equity,1
Etablissements Franz Colruyt NV,Etablissements Franz Colruyt NV,equity,1
Eurobank SA,Eurobank SA,equity,1
Exxon Mobil,Exxon Mobil,equity,1
Exxon Mobil Corp,Exxon Mobil Corp,equity,1
FIRST SOLAR INC,FIRST SOLAR INC,equity,1
FLEX LTD,FLEX LTD,equity,1
FMC Corp (Fertilizers & Agricultural Chemicals),FMC Corp (Fertilizers & Agricultural Chemicals),equity,1
FORMOSA PLASTICS CORP,FORMOSA PLASTICS CORP,equity,1
FORTIS HEALTHCARE INDIA LTD,FORTIS HEALTHCARE INDIA LTD,equity,1
FRESENIUS MEDICAL CARE AG & CO. KGAA,FRESENIUS MEDICAL CARE AG & CO. KGAA,equity,1
FUJIBO HOLDINGS INC,FUJIBO HOLDINGS INC,equity,1
Fidelity National Info,Fidelity National Info,equity,1
Fidelity National Information Services,Fidelity National Information Services,equity,1
FormFactor,FormFactor,equity,1
Frasers Centrepoint Trust,Frasers Centrepoint Trust,equity,1
GARTNER INC,GARTNER INC,equity,1
GAZPROM,GAZPROM,equity,1
GENTEIRA SAB DE CV,GENTEIRA SAB DE CV,equity,1
GOODMAN GROUP UNITS,GOODMAN GROUP UNITS,equity,1
GRUPO AEROPORTUARIO DEL SURESTE SAB DE CV,GRUPO AEROPORTUARIO DEL SURESTE SAB DE CV,equity,1
GRUPO MEXICO SAB DE CV,GRUPO MEXICO SAB DE CV,equity,1
GSK,GSK,equity,1
Glaxosmithkline plc,Glaxosmithkline plc,equity,1
HCA Healthcare,HCA Healthcare,equity,1
HCL TECHNOLOGIES LTD,HCL TECHNOLOGIES LTD,equity,1
HD HYUNDAI ELECTRIC CO LTD,HD HYUNDAI ELECTRIC CO LTD,equity,1
HEALTHPEAK PROPERTIES,HEALTHPEAK PROPERTIES,equity,1
HINDALCO INDUSTRIES LTD,HINDALCO INDUSTRIES LTD,equity,1
HITACHI LTD (日本),HITACHI LTD (日本),equity,1
HKT TRUST AND HKT LTD,HKT TRUST AND HKT LTD,equity,1
HSBC,HSBC,equity,1
HSBC Holdings,HSBC Holdings,equity,1
HSBC Holdings Plc,HSBC Holdings Plc,equity,1
Halliburton Co,Halliburton Co,equity,1
Hitachi Ltd,Hitachi Ltd,equity,1
Hong Kong Exchanges & Clearing Ltd.,Hong Kong Exchanges & Clearing Ltd.,equity,1
Hoya Corp,Hoya Corp,equity,1
IAMGOLD CORP,IAMGOLD CORP,equity,1
IBERDROLA SA,IBERDROLA SA,equity,1
ICU Medical Inc,ICU Medical Inc,equity,1
IG集团,IG集团,equity,1
INFINEON TECHNOLOGIES AG,INFINEON TECHNOLOGIES AG,equity,1
INFOSYS LTD,INFOSYS LTD,equity,1
ING Groep NV,ING Groep NV,equity,1
INTER &CO INC,INTER &CO INC,equity,1
INTERNATIONAL FLAVS & FRAG INC,INTERNATIONAL FLAVS & FRAG INC,equity,1
INVERCO US TRS BD 1-3 YR ETF USD ACC,INVERCO US TRS BD 1-3 YR ETF USD ACC,equity,1
INVESCO US TRS BD 1-3 YR ETF USD ACC,INVESCO US TRS BD 1-3 YR ETF USD ACC,equity,1
INVITATION HOMES INC,INVITATION HOMES INC,equity,1
IRON MOUNTAIN INC,IRON MOUNTAIN INC,equity,1
ISHARES PHYSICAL GOLD ETC PLC ETF-C,ISHARES PHYSICAL GOLD ETC PLC ETF-C,equity,1
ISUPTASYS CO LTD,ISUPTASYS CO LTD,equity,1
ITOCHU Corp,ITOCHU Corp,equity,1
ITT INC,ITT INC,equity,1
Iberdrola,Iberdrola,equity,1
Iberdrola SA,Iberdrola SA,equity,1
Infosys Ltd.,Infosys Ltd.,equity,1
"Intuitive Surgical, Inc.","Intuitive Surgical, Inc.",equity,1
JPMorgan Chase & Co.,JPMorgan Chase & Co.,equity,1
Johnson Controls International plc,Johnson Controls International plc,equity,1
KB FINANCIAL GROUP INC,KB FINANCIAL GROUP INC,equity,1
"KB Financial Group, Inc.","KB Financial Group, Inc.",equity,1
KBC BANK NV (NEW YORK BRANCH),KBC BANK NV (NEW YORK BRANCH),equity,1
KBC GROEP NV,KBC GROEP NV,equity,1
KDDI Corp,KDDI Corp,equity,1
KEYSIGHT TECHNOLOGIES IN (美国),KEYSIGHT TECHNOLOGIES IN (美国),equity,1
KINGSPAN GROUP PLC,KINGSPAN GROUP PLC,equity,1
KLABIN SA,KLABIN SA,equity,1
KOTAK MAHINDRA BANK LTD,KOTAK MAHINDRA BANK LTD,equity,1
Keppel DC REIT,Keppel DC REIT,equity,1
King Yuan Electronics,King Yuan Electronics,equity,1
Kingboard Laminates Holdings Limited,Kingboard Laminates Holdings Limited,equity,1
Knorr-Bremse AG,Knorr-Bremse AG,equity,1
Koninklijke Ahold Delhaize NV,Koninklijke Ahold Delhaize NV,equity,1
Koninklijke Ahold Delhaize NV (Food Retail),Koninklijke Ahold Delhaize NV (Food Retail),equity,1
Kubota Corp (Agricultural & Farm Machinery),Kubota Corp (Agricultural & Farm Machinery),equity,1
L3HARRIS TECHNOLOGIES INC,L3HARRIS TECHNOLOGIES INC,equity,1
LAM RESEARCH CORP,LAM RESEARCH CORP,equity,1
LEGRAND SA,LEGRAND SA,equity,1
LOCALIZA RENT A CAR SA,LOCALIZA RENT A CAR SA,equity,1
LOTTE CHEMICAL CORP,LOTTE CHEMICAL CORP,equity,1
LYNAS RARE EARTH LTD,LYNAS RARE EARTH LTD,equity,1
Leer Corp,Leer Corp,equity,1
Link Real Estate Investment Trust,Link Real Estate Investment Trust,equity,1
Lite-On Technology,Lite-On Technology,equity,1
Littelfuse Inc,Littelfuse Inc,equity,1
Loews,Loews,equity,1
MAGNITOGORSKIY METALLURGICHESKIY K,MAGNITOGORSKIY METALLURGICHESKIY K,equity,1
MASTERCARD INC A,MASTERCARD INC A,equity,1
MCKESSON CORP,MCKESSON CORP,equity,1
MERCADOLIBRE INC,MERCADOLIBRE INC,equity,1
META PLATFORMS INC CLASS A,META PLATFORMS INC CLASS A,equity,1
META PLATFORMS INC-CLASS A,META PLATFORMS INC-CLASS A,equity,1
MICRON TECHNOLOGY INC,MICRON TECHNOLOGY INC,equity,1
MITSUI FUDOSAN CO LTD,MITSUI FUDOSAN CO LTD,equity,1
MITSUI FUDOSAN LTD,MITSUI FUDOSAN LTD,equity,1
MONOLITHIC POWER SYSTEMS INC (美国),MONOLITHIC POWER SYSTEMS INC (美国),equity,1
MORGAN STANLEY INVESTMENT FUNDS - EMERGING MARKETS CORPORATE DEBT FUND,MORGAN STANLEY INVESTMENT FUNDS - EMERGING MARKETS CORPORATE DEBT FUND,equity,1
MUENCHENER RUECKVERSICHERUNGS-GESELLSCHAFT AG IN MUENCHEN,MUENCHENER RUECKVERSICHERUNGS-GESELLSCHAFT AG IN MUENCHEN,equity,1
Mapletree Industrial Trust,Mapletree Industrial Trust,equity,1
Mapletree Logistics Trust,Mapletree Logistics Trust,equity,1
Mapletree Pan Asia Commercial Trust,Mapletree Pan Asia Commercial Trust,equity,1
Marks & Spencer Group PLC,Marks & Spencer Group PLC,equity,1
Marvell Technology Inc.,Marvell Technology Inc.,equity,1
McDonald's,McDonald's,equity,1
McDonald's Corp (Restaurants),McDonald's Corp (Restaurants),equity,1
McDonalds,McDonalds,equity,1
Medtronic PLC,Medtronic PLC,equity,1
Meituan (Restaurants),Meituan (Restaurants),equity,1
Meta Platforms 'A',Meta Platforms 'A',equity,1
"Meta Platforms, Inc.","Meta Platforms, Inc.",equity,1
