holding_name_std,holding_name_raw,type,fund_count
NVIDIA CORP,NVIDIA CORP,equity,11
AMAZON.COM INC,AMAZON.COM INC,equity,10
Taiwan Semiconductor Manufacturing,Taiwan Semiconductor Manufacturing,equity,10
APPLE INC,APPLE INC,equity,9
MICROSOFT CORP,MICROSOFT CORP,equity,9
BROADCOM INC,BROADCOM INC,equity,8
SAMSUNG ELECTRONICS CO LTD,SAMSUNG ELECTRONICS CO LTD,equity,8
Samsung Electronics,Samsung Electronics,equity,8
微软,微软,equity,8
TAIWAN SEMICONDUCTOR MFG CO LTD,TAIWAN SEMICONDUCTOR MFG CO LTD,equity,7
台积电,台积电,equity,7
ALPHABET(谷歌母公司),ALPHABET(谷歌母公司),equity,6
ISHARES CORE MSCI EUROPE UCITS ETF,ISHARES CORE MSCI EUROPE UCITS ETF,equity,6
ISHARES MSCI USA UCITS ETF USD ACC,ISHARES MSCI USA UCITS ETF USD ACC,equity,6
ALPHABET INC,ALPHABET INC,equity,5
Alibaba Group Holding,Alibaba Group Holding,equity,5
GSK PLC,GSK PLC,equity,5
Johnson & Johnson,Johnson & Johnson,equity,5
Microsoft,Microsoft,equity,5
ROCHE HOLDING AG,ROCHE HOLDING AG,equity,5
Tencent Holdings,Tencent Holdings,equity,5
英伟达,英伟达,equity,5
ALPHABET INC-CL A,ALPHABET INC-CL A,equity,4
Alphabet,Alphabet,equity,4
"Alphabet, Inc.","Alphabet, Inc.",equity,4
"Amazon.com, Inc.","Amazon.com, Inc.",equity,4
"Apple, Inc.","Apple, Inc.",equity,4
Broadcom,Broadcom,equity,4
"Broadcom, Inc.","Broadcom, Inc.",equity,4
ELI LILLY & CO,ELI LILLY & CO,equity,4
"Gilead Sciences, Inc.","Gilead Sciences, Inc.",equity,4
ISHARES CORE S&P 500 UCITS ETF USD,ISHARES CORE S&P 500 UCITS ETF USD,equity,4
ISHARES MSCI EMERGING MARKETS UCIT,ISHARES MSCI EMERGING MARKETS UCIT,equity,4
Microsoft Corp.,Microsoft Corp.,equity,4
NOVARTIS AG,NOVARTIS AG,equity,4
NVIDIA Corp.,NVIDIA Corp.,equity,4
Nvidia,Nvidia,equity,4
RECKITT BENCKISER GROUP PLC,RECKITT BENCKISER GROUP PLC,equity,4
SAP SE,SAP SE,equity,4
TAIWAN SEMICONDUCTOR-SP ADR,TAIWAN SEMICONDUCTOR-SP ADR,equity,4
Tencent Holdings Ltd.,Tencent Holdings Ltd.,equity,4
亚马逊,亚马逊,equity,4
苹果,苹果,equity,4
ALIBABA GROUP HOLDING LTD,ALIBABA GROUP HOLDING LTD,equity,3
Analog Devices,Analog Devices,equity,3
AstraZeneca PLC,AstraZeneca PLC,equity,3
BNP PARIBAS SA,BNP PARIBAS SA,equity,3
Bank of America,Bank of America,equity,3
HDFC BANK LTD,HDFC BANK LTD,equity,3
ICICI BANK LTD,ICICI BANK LTD,equity,3
META PLATFORMS INC,META PLATFORMS INC,equity,3
